metabolite,name
octapb_c,Octanoate (protein bound)
cysi__L_e,L Cystine C6H12N2O4S2
dhap_c,Dihydroxyacetone phosphate
prbatp_c,1-(5-Phosphoribosyl)-ATP
10fthf_c,10-Formyltetrahydrofolate
btal_c,Butanal C4H8O
6pgg_c,"6-Phospho-beta-D-glucosyl-(1,4)-D-glucose"
co2_e,CO2 CO2
akg_e,2-Oxoglutarate
gsn_e,Guanosine
pydx5p_c,Pyridoxal 5'-phosphate
3dhgulnp_c,3-keto-L-gulonate-6-phosphate
g3ps_c,Glycerophosphoserine
adphep_LD_c,ADP-L-glycero-D-manno-heptose
lyx__L_c,L-Lyxose
din_p,Deoxyinosine
2pg_c,D-Glycerate 2-phosphate
ptrc_p,Putrescine
malt_p,Maltose C12H22O11
pppn_p,Phenylpropanoate
arbtn_p,Aerobactin minus Fe3
hphhlipa_c,Heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA
phphhlipa_c,Phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA
13dpg_c,3-Phospho-D-glyceroyl phosphate
murein3px4p_p,"Two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
34dhpac_e,"3,4-Dihydroxyphenylacetaldehyde"
1odec11eg3p_c,1-octadec-11-enoyl-sn-glycerol 3-phosphate
12dgr181_p,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)"
anhgm_e,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid
prbamp_c,1-(5-Phosphoribosyl)-AMP
dsbdrd_c,Fused thiol:disulfide interchange protein (reduced)
cu2_p,Copper
sla_c,Sulpholactaldehyde
14glucan_p,"1,4-alpha-D-glucan"
grdp_c,Geranyl diphosphate
ribflv_p,Riboflavin C17H20N4O6
dms_e,Dimethyl sulfide
pgp141_c,"Phosphatidylglycerophosphate (ditetradec-7-enoyl, n-C14:1)"
cysi__L_c,L Cystine C6H12N2O4S2
fpram_c,2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine
f1p_c,D-Fructose 1-phosphate
dsbard_p,Periplasmic protein disulfide isomerase I (reduced)
thr__L_c,L-Threonine
dcyt_p,Deoxycytidine
2ddglcn_c,2-Dehydro-3-deoxy-D-gluconate
fum_p,Fumarate
galctn__L_e,L-Galactonate
btn_e,Biotin
pydxn_p,Pyridoxine
ocdcea_e,Octadecenoate (n-C18:1)
preq0_c,7-cyano-7-carbaguanine
tyr__L_p,L-Tyrosine
dtdp4d6dg_c,DTDP-4-dehydro-6-deoxy-D-glucose
acmum_e,N-Acetylmuramate
man_p,D-Mannose
adocbl_e,Adenosylcobalamin
iscu_2fe2s_c,IscU with bound [2Fe-2S] cluster
frulysp_c,Fructoselysine Phosphate
dump_p,DUMP C9H11N2O8P
novbcn_e,Novobiocin
feenter_e,Fe-enterobactin
eca4und_p,(enterobacterial common antigen)x4 undecaprenyl-diphosphate
gg4abut_c,Gamma-glutamyl-gamma aminobutyric acid
flxr_c,Flavodoxin reduced
pa160_c,"1,2-dihexadecanoyl-sn-glycerol 3-phosphate"
lcts_c,Lactose C12H22O11
arbtn_e,Aerobactin minus Fe3
cdpdhdec9eg_c,"CDP-1,2-dihexadec-9-enoylglycerol"
aso3_c,Arsenite
progly_c,L-Prolinylglycine
3ohdcoa_c,3-Oxohexadecanoyl-CoA
clpn161_p,"Cardiolipin (tetrahexadec-9-enoyl, n-C16:1)"
1ddecg3p_p,1-dodecanoyl-sn-glycerol 3-phosphate
gln__L_e,L-Glutamine
cpgn_un_e,Coprogen unloaded (no Fe(III))
ca2_p,Calcium
