metabolite,name
tre_e,Trehalose
iscssh_c,IscS with bound sulfur
glyald_c,D-Glyceraldehyde
alaala_e,D-Alanyl-D-alanine
novbcn_p,Novobiocin
3ohexACP_c,3-Oxohexanoyl-[acyl-carrier protein]
g3pg_c,Glycerophosphoglycerol
rpntp_c,?-D-ribose-1-methylphosphonate-5-triphosphate
adocbl_c,Adenosylcobalamin
3ocddec5eACP_c,3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein]
gmplys_c,GMP-N-?-(N-?-acetyl lysine methyl ester) 5'-phosphoramidate
r5p_c,Alpha-D-Ribose 5-phosphate
clpn120_p,"Cardiolipin (tetradodecanoyl, n-C12:0)"
idon__L_e,L-Idonate
akg_c,2-Oxoglutarate
tcynt_c,Thiocyanate
apg141_c,Acyl phosphatidylglycerol (n-C14:1)
ac_c,Acetate
dca_c,Decanoate (n-C10:0)
pheme_e,Protoheme C34H30FeN4O4
citr__L_c,L-Citrulline
3hodcoa_c,(S)-3-Hydroxyoctadecanoyl-CoA
all__D_e,D-Allose
ca2_e,Calcium
fe2_p,Fe2+ mitochondria
dkdglcn_c,"2,5-Diketo-3-deoxy-D-gluconate"
chtbs_p,"N,N'-diacetylchitobiose"
34hpp_c,3-(4-Hydroxyphenyl)pyruvate
fusa_p,Fusidic acid
metglcur_c,1-O-methyl-Beta-D-glucuronate
g1p_e,D-Glucose 1-phosphate
duri_c,Deoxyuridine
udcpdp_p,Undecaprenyl diphosphate
ag_e,Silver
pep_c,Phosphoenolpyruvate
ala_B_c,Beta-Alanine
h_c,H+
pa141_c,"1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate"
no2_e,Nitrite
cdpdddecg_c,"CDP-1,2-didodecanoylglycerol"
rib__D_c,D-Ribose
tag6p__D_c,D-Tagatose 6-phosphate
2dr1p_c,2-Deoxy-D-ribose 1-phosphate
gthrd_c,Reduced glutathione
pe140_p,"Phosphatidylethanolamine (ditetradecanoyl, n-C14:0)"
2agpg120_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)
dhpppn_c,"3-(2,3-Dihydroxyphenyl)propanoate"
2tdecg3p_p,2-tetradecanoyl-sn-glycerol 3-phosphate
ala__L_e,L-Alanine
g6p_e,D-Glucose 6-phosphate
actACP_c,Acetoacetyl-ACP
2odecg3p_c,2-octadecanoyl-sn-glycerol 3-phosphate
hdcea_c,Hexadecenoate (n-C16:1)
hdcoa_c,Hexadecenoyl-CoA (n-C16:1CoA)
actp_c,Acetyl phosphate
2pglyc_c,2-Phosphoglycolate
o16a4colipa_e,(O16 antigen)x4 core oligosaccharide lipid A
acgam6p_c,N-Acetyl-D-glucosamine 6-phosphate
g3pc_c,Sn-Glycero-3-phosphocholine
thmpp_c,Thiamine diphosphate
dmbzid_c,"5,6-Dimethylbenzimidazole"
val__L_p,L-Valine
xtp_c,XTP
udcpgl_c,Undecaprenol-diphosphate-glucose
mepn_c,Methylphosphonic acid
ppt_p,Phosphonate
mepn_p,Methylphosphonic acid
cd2_c,Cadmium
pyr_p,Pyruvate
tcynt_p,Thiocyanate
ni2_c,Nickel
acanth_c,N-Acetylanthranilate
cyst__L_c,L-Cystathionine
so2_p,Sulfur dioxide
peamn_p,Phenethylamine
mso3_e,Methanesulfonate
mn2_c,Manganese
dutp_c,DUTP C9H11N2O14P3
murein5p5p_p,"Two linked disacharide pentapeptide murein units (uncrosslinked, middle of chain)"
dmlz_c,"6,7-Dimethyl-8-(1-D-ribityl)lumazine"
pan4p_c,Pantetheine 4'-phosphate
pa181_c,"1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate"
thrp_e,L-Threonine O-3-phosphate
2agpg181_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)
adprib_c,ADPribose C15H21N5O14P2
octa_c,Octanoate (n-C8:0)
quln_c,Quinolinate
tdecoa_c,Tetradecenoyl-CoA (n-C14:1CoA)
1odecg3p_p,1-octadecanoyl-sn-glycerol 3-phosphate
dxyl_c,1-deoxy-D-xylulose
dhptd_c,"4,5-dihydroxy-2,3-pentanedione"
thym_p,Thymine C5H6N2O2
LalaLglu_e,L-alanine-L-glutamate
mocogdp_c,Molybdopterin guanine dinucleotide
lipa_c,KDO(2)-lipid (A)
mththf_c,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"
sheme_c,Siroheme C42H36FeN4O16
sufbcd_2fe2s_c,SufBCD with bound [2Fe-2S] cluster
all__D_p,D-Allose
metsox_R__L_e,L-methionine-R-sulfoxide
bwco_c,Tungsten bispterin cofactor
pheme_p,Protoheme C34H30FeN4O4
h2o_p,H2O H2O
f_p,Fluoride
hdca_p,Hexadecanoate (n-C16:0)
fru_c,D-Fructose
gal1p_p,Alpha-D-Galactose 1-phosphate
g3pe_e,Sn-Glycero-3-phosphoethanolamine
dimp_p,DIMP C10H12N4O7P
glyc3p_c,Glycerol 3-phosphate
ctbt_p,Crotonobetaine
anhm3p_c,"1,6-anhydrous-N-Acetylmuramyl-tripeptide"
2ahbut_c,(S)-2-Aceto-2-hydroxybutanoate
clpn140_p,"Cardiolipin (tetratetradecanoyl, n-C14:0)"
murein5p4p_p,"Two linked disacharide pentapeptide and tetrapeptide murein units (uncrosslinked, middle of chain)"
ser__L_c,L-Serine
toct2eACP_c,Trans-Oct-2-enoyl-[acyl-carrier protein]
clpn141_p,"Cardiolipin (tetratetradec-7-enoyl, n-C14:1)"
12dgr180_p,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
2agpe140_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)
ump_c,UMP C9H11N2O9P
5drib_c,5'-deoxyribose
2agpe120_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)
4c2me_c,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
1agpg181_p,1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)
oxalcoa_c,Oxalyl-CoA
uracp_c,Ureidoacrylate peracid
preq1_c,7-aminomethyl-7-deazaguanine
bmoco_c,Bis-molybdenum cofactor
hdceap_c,Hexadecanoyl-phosphate (n-C16:1)
ade_e,Adenine
mepn_e,Methylphosphonic acid
bmoco1gdp_c,Bis-molybdopterin mono-guanine dinucleotide
rmn_e,L-Rhamnose
f_e,Fluoride
3pg_c,3-Phospho-D-glycerate
iprimv_c,Isoprimeverose
2dhguln_c,2-Dehydro-L-gulonate
psuri_c,Pseudouridine
ctp_c,CTP C9H12N3O14P3
dadp_c,DADP C10H12N5O9P2
2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate
xan_c,Xanthine
xu5p__D_c,D-Xylulose 5-phosphate
aspsa_c,L-Aspartate 4-semialdehyde
glyb_e,Glycine betaine
xtsn_c,Xanthosine
2p4c2me_c,2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
glcr_e,D-Glucarate
lgt__S_c,(R)-S-Lactoylglutathione
alltn_e,Allantoin
cyan_c,Hydrogen cyanide
f6p_e,D-Fructose 6-phosphate
gam1p_c,D-Glucosamine 1-phosphate
cu2_e,Copper
zn2_e,Zinc
ura_e,Uracil
fadh2_c,Flavin adenine dinucleotide reduced
dhpmp_c,Dihydroneopterin monophosphate
15dap_p,"1,5-Diaminopentane"
pppi_c,Inorganic triphosphate
lys__L_e,L-Lysine
cynt_c,Cyanate
xu5p__L_c,L-Xylulose 5-phosphate
ascb6p_c,L-ascorbate-6-phosphate
acmum6p_c,N-acetylmuramate 6-phosphate
ocdca_e,Octadecanoate (n-C18:0)
glyclt_c,Glycolate C2H3O3
ppap_c,Propanoyl phosphate
hkntd_c,2-hydroxy-6-ketononatrienedioate
gp4g_c,"P1,P4-Bis(5'-guanosyl) tetraphosphate"
all__D_c,D-Allose
acnam_p,N-Acetylneuraminate
sucr_p,Sucrose C12H22O11
g6p_p,D-Glucose 6-phosphate
glyb_c,Glycine betaine
gmp_e,GMP C10H12N5O8P
phaccoa_c,Phenylacetyl-CoA
but_e,Butyrate (n-C4:0)
pnto__R_p,(R)-Pantothenate
isetac_p,Isethionic acid
amp_p,AMP C10H12N5O7P
kdo2lipid4p_c,KDO(2)-lipid IV(A) with palmitoleoyl
dhmptp_c,Dihydromonapterin-triphosphate
cobalt2_e,Co2+
cbl1_c,Cob(I)alamin
gal_bD_p,Beta D-Galactose
alaala_p,D-Alanyl-D-alanine
fald_p,Formaldehyde
uri_p,Uridine
thex2eACP_c,Trans-Hex-2-enoyl-[acyl-carrier protein]
ocdcea_p,Octadecenoate (n-C18:1)
LalaDgluMdapDala_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine"
t3c9palmeACP_c,Trans-3-cis-9-palmitoleoyl-[acyl-carrier protein]
hlipa_c,Heptosyl-kdo2-lipidA
dimp_c,DIMP C10H12N4O7P
odecoa_c,Octadecenoyl-CoA (n-C18:1CoA)
cpe160_c,"Cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)"
cgly_c,Cys Gly C5H10N2O3S
phhlipa_c,Phospho-heptosyl-heptosyl-kdo2-lipidA
alpp_p,Applipoprotein
lpp_p,Lipoprotein
5mtr_p,5-Methylthio-D-ribose
1agpe181_p,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)
sf_c,6-deoxy-6-sulphofructose
fuc__L_c,L-Fucose
ghb_c,Gamma-hydroxybutyrate
4abutn_c,4-Aminobutanal
accoa_c,Acetyl-CoA
arg__L_c,L-Arginine
LalaLglu_p,L-alanine-L-glutamate
26dap_LL_c,"LL-2,6-Diaminoheptanedioate"
tma_e,Trimethylamine
mdhdhf_c,"(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one"
occoa_c,Octanoyl-CoA (n-C8:0CoA)
moadamp_c,MoaD Protein with bound AMP
lyx__L_e,L-Lyxose
mththf_p,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"
gtp_e,GTP C10H12N5O14P3
3hbz_c,3-Hydroxybenzoate
man6p_p,D-Mannose 6-phosphate
cellb_e,Cellobiose
prpmn_c,?-D-ribose-1-methylphosphonate 5-phosphate
uamr_c,UDP-N-acetylmuramate
fecrm_un_c,Ferrichrome minus Fe(III)
asp__L_c,L-Aspartate
lipa_cold_p,Cold adapted KDO(2)-lipid (A)
sbt__D_e,D-Sorbitol
acg5sa_c,N-Acetyl-L-glutamate 5-semialdehyde
arg__L_e,L-Arginine
murein3p3p_p,"Two linked disacharide tripeptide murein units (uncrosslinked, middle of chain)"
hexACP_c,Hexanoyl-ACP (n-C6:0ACP)
dgsn_e,Deoxyguanosine
spmd_e,Spermidine
pg161_c,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)"
skm_c,Shikimate
pe120_p,"Phosphatidylethanolamine (didodecanoyl, n-C12:0)"
sucgsa_c,N2-Succinyl-L-glutamate 5-semialdehyde
imp_c,IMP C10H11N4O8P
tartr__L_c,L-tartrate
ppal_p,Propanal
colipap_p,Core oligosaccharide lipid A diphosphate
o2_c,O2 O2
dhps_p,"2,3-Dihydroxypropane-1-sulfonate"
ocdcea_c,Octadecenoate (n-C18:1)
h_p,H+
3hbcoa_c,(S)-3-Hydroxybutanoyl-CoA
succ_p,Succinate
gal_p,D-Galactose
2hptcl_c,"2-hydroxycyclohepta-1,4,6-triene-1-carboxylate"
phpyr_c,Phenylpyruvate
s17bp_c,"Sedoheptulose 1,7-bisphosphate"
4ampm_c,4-Amino-2-methyl-5-phosphomethylpyrimidine
maltttr_p,Maltotetraose
pydxn_c,Pyridoxine
met__D_c,D-Methionine
fru_e,D-Fructose
sucorn_c,N2-Succinyl-L-ornithine
pyr_e,Pyruvate
dtmp_p,DTMP C10H13N2O8P
dhcinnm_c,"2,3-dihydroxicinnamic acid"
aso4_c,Arsenate
acgal_p,N-Acetyl-D-galactosamine
dtdp4addg_c,"DTDP-4-amino-4,6-dideoxy-D-galactose"
unagamuf_c,"Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose"
idon__L_c,L-Idonate
malttr_e,Maltotriose C18H32O16
cys__D_e,D-Cysteine
pac_c,Phenylacetic acid
pgp160_p,"Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)"
cbm_c,Carbamate
5mthf_c,5-Methyltetrahydrofolate
3hpppn_e,3-(3-hydroxy-phenyl)propionate
ppt_e,Phosphonate
pmeACP_c,Pimeloyl-[acyl-carrier protein] methyl ester
ctbt_c,Crotonobetaine
nad_c,Nicotinamide adenine dinucleotide
na1_p,Sodium
glyald_p,D-Glyceraldehyde
r1p_c,Alpha-D-Ribose 1-phosphate
tdeACP_c,Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)
5mta_c,5-Methylthioadenosine
23dhba_c,"(2,3-Dihydroxybenzoyl)adenylate"
val__L_e,L-Valine
ddcacoa_c,Dodecanoyl-CoA (n-C12:0CoA)
gdpofuc_c,GDP-4-oxo-L-fucose
rbl__D_c,D-Ribulose
chol_c,Choline C5H14NO
his__L_p,L-Histidine
malt_c,Maltose C12H22O11
hom__L_e,L-Homoserine
no2_p,Nitrite
dcmp_e,DCMP C9H12N3O7P
dgmp_e,DGMP C10H12N5O7P
rhcys_c,S-Ribosyl-L-homocysteine
cd2_e,Cadmium
met__D_e,D-Methionine
gbbtn_c,Gamma-butyrobetaine
fald_c,Formaldehyde
Nmtrp_c,N-Methyltryptophan
23ccmp_e,"2',3'-Cyclic CMP"
dmso_e,Dimethyl sulfoxide
udpg_e,UDPglucose
icolipa_c,Inner core oligosaccharide lipid A (E coli)
acgal_e,N-Acetyl-D-galactosamine
r15bp_c,"D-Ribose 1,5-bisphosphate"
g3pe_p,Sn-Glycero-3-phosphoethanolamine
crn__D_p,D-Carnitine
3ocvac11eACP_c,3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein]
cd2_p,Cadmium
3hoctaACP_c,(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]
2agpe181_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)
arab__D_c,D Arabinose C5H10O5
2doxg6p_c,2 Deoxy D glucose 6 phosphate C6H11O8P
ocdca_c,Octadecanoate (n-C18:0)
murein4px4p4p_p,"Three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala), one uncrosslinked tetrapaptide) (middle of chain)"
2agpg180_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)
2tdec7eg3p_p,2-tetradec-7-enoyl-sn-glycerol 3-phosphate
sulfac_c,Sulfoacetate
mg2_c,Magnesium
dt5hsu_c,4-Deoxy-L-threo-5-hexosulose uronate
acmalt_c,Acetyl-maltose
malcoame_c,Malonyl-CoA methyl ester
slnt_p,Selenite
gmeACP_c,Glutaryl-[acyl-carrier protein] methyl ester
1hdecg3p_c,1-hexadecanoyl-sn-glycerol 3-phosphate
hgmeACP_c,3-Hydroxyglutaryl-[acyl-carrier protein] methyl ester
pg141_p,"Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)"
mpt_c,Molybdopterin
ttrcyc_p,Tetracycline
4crsol_c,P-Cresol
apg181_c,Acyl phosphatidylglycerol (n-C18:1)
pydx_p,Pyridoxal
2sephchc_c,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
cellb_p,Cellobiose
adp_c,ADP C10H12N5O10P2
dhps_c,"2,3-Dihydroxypropane-1-sulfonate"
mal__L_c,L-Malate
urea_c,Urea CH4N2O
gam_c,D-Glucosamine
mercpeth_c,Mercaptoethanol
psuri_p,Pseudouridine
5apru_c,5-Amino-6-(5'-phosphoribosylamino)uracil
g3p_c,Glyceraldehyde 3-phosphate
puacgam_p,"Poly-?-1,6-N-acetyl-D-glucosamine"
etoh_c,Ethanol
pnto__R_c,(R)-Pantothenate
nadphx__S_c,(S)-NADPHX
gdptp_c,Guanosine 3'-diphosphate 5'-triphosphate
3hddcoa_c,(S)-3-Hydroxydodecanoyl-CoA
so3_c,Sulfite
met__L_c,L-Methionine
aicar_c,5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide
altrn_c,D-Altronate
thymd_e,Thymidine C10H14N2O5
ncam_c,Nicotinamide
5aizc_c,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
fruur_c,D-Fructuronate
sucbz_c,O-Succinylbenzoate
ac_e,Acetate
glx_c,Glyoxylate
k_e,Potassium
lipidX_c,"2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate"
apg140_c,Acyl phosphatidylglycerol (n-C14:0)
dhna_c,"1,4-Dihydroxy-2-naphthoate"
etoh_e,Ethanol
galctn__L_c,L-Galactonate
mi1p__D_c,1D-myo-Inositol 1-phosphate
pro__L_e,L-Proline
taur_e,Taurine C2H7NO3S
lipa_cold_e,Cold adapted KDO(2)-lipid (A)
bwcogdp_c,Tungsten bispterin cofactor guanine dinucleotide
ppp9_c,Protoporphyrin
thptdn_c,"5,6,7,8-tetrahydropteridine"
glcn_p,D-Gluconate
gua_p,Guanine
air_c,5-amino-1-(5-phospho-D-ribosyl)imidazole
6pgc_c,6-Phospho-D-gluconate
6hmhptpp_c,6-hydroxymethyl-dihydropterin pyrophosphate
udpgal_c,UDPgalactose
nh4_c,Ammonium
fe3hox_un_p,"Fe(III)hydoxamate, unloaded"
xmp_e,Xanthosine 5'-phosphate
pydam_c,Pyridoxamine
so3_p,Sulfite
rml1p_c,L-Rhamnulose 1-phosphate
gam6p_e,D-Glucosamine 6-phosphate
cytd_c,Cytidine
glcur1p_e,D-Glucuronate 1-phosphate
nac_e,Nicotinate
tdec2eACP_c,Trans-Dec-2-enoyl-[acyl-carrier protein]
thym_c,Thymine C5H6N2O2
galctn__D_c,D-Galactonate
sbzcoa_c,O-Succinylbenzoyl-CoA
gal_e,D-Galactose
3hpp_p,3-Hydroxypropanoate
pimACP_c,Pimeloyl-[acyl-carrier protein]
micit_c,Methylisocitrate
dhcholn_c,"3?,12?-dihydroxy-7-oxo-5?-cholan-24-oate"
acnam_c,N-Acetylneuraminate
hdeACP_c,Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)
dha_e,Dihydroxyacetone
pi_c,Phosphate
acmana_p,N-Acetyl-D-mannosamine
argsuc_c,N(omega)-(L-Arginino)succinate
aacald_c,Aminoacetaldehyde
gbbtn_p,Gamma-butyrobetaine
nh4_p,Ammonium
4abut_p,4-Aminobutanoate
chor_c,Chorismate
hom__L_c,L-Homoserine
cbi_p,Cobinamide
thymd_c,Thymidine C10H14N2O5
mnl_p,D-Mannitol
gal_bD_e,Beta D-Galactose
12ppd__R_c,"(R)-Propane-1,2-diol"
dgdp_c,DGDP C10H12N5O10P2
glu1sa_c,L-Glutamate 1-semialdehyde
dad_5_c,5'-Deoxyadenosine
imp_p,IMP C10H11N4O8P
LalaDgluMdap_p,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate"
cit_e,Citrate
glcur1p_p,D-Glucuronate 1-phosphate
leu__L_e,L-Leucine
hhlipa_c,Heptosyl-heptosyl-kdo2-lipidA
skm_p,Shikimate
crnDcoa_c,D-carnitinyl-CoA
zn2_c,Zinc
q8h2_c,Ubiquinol-8
ala__D_e,D-Alanine
murein5px3p_p,"Two disacharide linked murein units, pentapeptide corsslinked tripeptide (A2pm->A2pm) (middle of chain)"
fe2_e,Fe2+ mitochondria
skm_e,Shikimate
2agpe161_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)
3odecACP_c,3-Oxodecanoyl-[acyl-carrier protein]
galt_e,Galactitol
5dglcn_e,5-Dehydro-D-gluconate
unagamu_c,Undecaprenyl-diphospho-N-acetylglucosamine-N-acetylmannosaminuronate
5prdmbz_c,"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole"
1tdecg3p_c,1-tetradecanoyl-sn-glycerol 3-phosphate
pa140_c,"1,2-ditetradecanoyl-sn-glycerol 3-phosphate"
cdpdtdec7eg_c,"CDP-1,2-ditetradec-7-enoylglycerol"
cynt_e,Cyanate
dgslnt_c,Selenodiglutathione
cit_p,Citrate
xan_p,Xanthine
2agpe140_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)
teo2_c,Tellurite
sufsesh_c,SufSE with bound sulfur
tyr__L_c,L-Tyrosine
fruur_p,D-Fructuronate
ggptrc_c,Gamma-glutamyl-putrescine
cys__L_c,L-Cysteine
4abzglu_e,4-aminobenzoyl-glutamate
2aobut_c,L-2-Amino-3-oxobutanoate
sulfac_e,Sulfoacetate
lkdr_c,2-dehydro-3-deoxy-L-rhamnonate
ps160_c,"Phosphatidylserine (dihexadecanoyl, n-C16:0)"
4r5au_c,4-(1-D-Ribitylamino)-5-aminouracil
3hbzcoa_c,3-hydroxybenzoyl-CoA
gam_e,D-Glucosamine
pg120_c,"Phosphatidylglycerol (didodecanoyl, n-C12:0)"
2agpe141_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)
met__L_e,L-Methionine
xylu__D_c,D-Xylulose
4hbz_c,4-Hydroxybenzoate
amet_c,S-Adenosyl-L-methionine
dscl_c,Dihydrosirohydrochlorin
hxa_c,Hexanoate (n-C6:0)
h2s_c,Hydrogen sulfide
phthr_c,O-Phospho-4-hydroxy-L-threonine
acmana_e,N-Acetyl-D-mannosamine
3oocoa_c,3-Oxooctanoyl-CoA
n8aspmd_c,N8-Acetylspermidine
acgam1p_c,N-Acetyl-D-glucosamine 1-phosphate
ascb__L_e,L-Ascorbate
malt_e,Maltose C12H22O11
thymd_p,Thymidine C10H14N2O5
mn2_e,Manganese
ditp_c,DITP(4-)
u23ga_c,"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine"
23dappa_e,"2,3-diaminopropionate"
um4p_c,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine"
3hppnl_c,3-Hydroxypropanal
cs1_e,Cesium ion
glyc2p_c,Glycerol 2-phosphate
wco_c,Tungsten binding cofactor
uLa4fn_c,Undecaprenyl phosphate-4-amino-4-formyl-L-arabinose
lipa_p,KDO(2)-lipid (A)
glc__D_c,D-Glucose
zn2_p,Zinc
dhmpt_c,Dihydromonapterin
e4p_c,D-Erythrose 4-phosphate
mincyc_p,Minocycline
hg2_c,Mercury  charged 2  Hg
man1p_c,D-Mannose 1-phosphate
2tpr3dpcoa_c,2'-(5''-triphosphoribosyl)-3'-dephospho-CoA
bglycogen_c,Branching glycogen
sq_c,Sulphoquinovose
sfp_c,6-deoxy-6-sulphofructose 1-phosphate
trp__L_c,L-Tryptophan
sq_e,Sulphoquinovose
dsbdox_c,Fused thiol:disulfide interchange protein (oxidized)
acser_c,O-Acetyl-L-serine
progly_e,L-Prolinylglycine
5phdt_c,Phenylhydantoin
lys__L_c,L-Lysine
adpglc_c,ADPglucose C16H23N5O15P2
ogmeACP_c,3-Oxo-glutaryl-[acyl-carrier protein] methyl ester
hpmeACP_c,3-Hydroxypimeloyl-[acyl-carrier protein] methyl ester
dudp_c,DUDP C9H11N2O11P2
2shchc_c,"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate"
4ppan_c,D-4'-Phosphopantothenate
sufse_c,SufSE sulfur acceptor complex
dxyl5p_c,1-deoxy-D-xylulose 5-phosphate
cs1_p,Cesium ion
23dhb_c,"2,3-Dihydroxybenzoate"
man_e,D-Mannose
2mecdp_c,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate"
atp_c,ATP C10H12N5O13P3
acmana_c,N-Acetyl-D-mannosamine
rbl__L_c,L-Ribulose
dcyt_e,Deoxycytidine
fcl__L_c,L-fuculose
orot_e,Orotate C5H3N2O4
agdpcbi_c,Adenosine-GDP-cobinamide
indole_c,Indole
eig3p_c,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
h2_e,Hydrogen
26dap__M_c,"Meso-2,6-Diaminoheptanedioate"
u3aga_c,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine
nmn_e,NMN C11H14N2O8P
thm_c,Thiamin
