,shadow_prices
octapb_c,0.06956521739130428
cysi__L_e,-1.286956521739129
dhap_c,-4.1043478260869515
prbatp_c,-0.0
10fthf_c,-2.2695652173913032
btal_c,-2.8434782608695617
6pgg_c,-1.043478260869565
co2_e,4.1434782608695615
akg_e,-1.1347826086956514
gsn_e,-1.6260869565217386
pydx5p_c,-0.008695652173913299
3dhgulnp_c,-5.843478260869559
g3ps_c,-4.826086956521732
adphep_LD_c,-2.6304347826086945
lyx__L_c,-0.0
din_p,-0.016600790513833633
2pg_c,-2.0347826086956515
ptrc_p,-0.6260869565217388
malt_p,-1.2434782608695643
pppn_p,-0.0
arbtn_p,1.5652173913043463
hphhlipa_c,0.060869565217391175
phphhlipa_c,-1.2608695652173876
13dpg_c,1.8434782608695648
murein3px4p_p,-1.7043478260869542
34dhpac_e,-0.0
1odec11eg3p_c,-1.826086956521738
12dgr181_p,-1.2521739130434784
anhgm_e,-1.5130434782608682
prbamp_c,-2.5391304347826065
dsbdrd_c,-1.0086956521739125
cu2_p,-3.460869565217389
sla_c,-1.7217391304347804
14glucan_p,0.02608695652173973
grdp_c,0.0
ribflv_p,-0.0
dms_e,-1.5913043478260864
pgp141_c,4.1086956521739095
cysi__L_c,-0.2608695652173917
fpram_c,-1.0782608695652167
f1p_c,-6.817391304347817
dsbard_p,-2.3826086956521726
thr__L_c,0.026086956521739896
dcyt_p,-0.8782608695652145
2ddglcn_c,-1.7043478260869536
fum_p,-1.217391304347825
galctn__L_e,-5.013043478260862
btn_e,-0.0
pydxn_p,-0.41739130434782373
ocdcea_e,-0.5312252964426872
preq0_c,-0.0
tyr__L_p,-0.0
dtdp4d6dg_c,-0.017391304347826597
acmum_e,-0.7043478260869559
man_p,-0.0
adocbl_e,-2.573913043478257
iscu_2fe2s_c,-0.022924901185770348
frulysp_c,-2.5043478260869545
dump_p,-0.0028985507246377107
novbcn_e,-2.4130434782608665
feenter_e,1.2478260869565196
eca4und_p,-8.904347826086946
gg4abut_c,-0.982608695652174
flxr_c,-0.8956521739130432
pa160_c,-3.7826086956521676
lcts_c,-0.8695652173913034
arbtn_e,-10.617391304347816
cdpdhdec9eg_c,-1.2695652173913037
aso3_c,-6.33043478260869
progly_c,-1.0695652173913035
3ohdcoa_c,-0.5391304347826082
clpn161_p,-1.68695652173913
1ddecg3p_p,-4.2999999999999945
gln__L_e,-2.799999999999998
cpgn_un_e,-0.06086956521739095
ca2_p,-0.5739130434782601
tre_e,-2.156521739130434
iscssh_c,-3.5695652173912995
glyald_c,-1.1130434782608694
alaala_e,-1.5652173913043457
novbcn_p,-6.817391304347817
3ohexACP_c,-0.08695652173912971
g3pg_c,-4.191304347826084
rpntp_c,-4.8173913043478205
adocbl_c,-2.478260869565214
3ocddec5eACP_c,-0.0
gmplys_c,-1.4782608695652166
r5p_c,-0.0
clpn120_p,0.0
idon__L_e,-1.0347826086956515
akg_c,0.0
