,shadow_prices
tcynt_c,-1.1130434782608687
apg141_c,-1.0434782608695636
ac_c,0.0
dca_c,-4.856521739130428
pheme_e,-0.6695652173913039
citr__L_c,0.0
3hodcoa_c,0.0
all__D_e,-0.5391304347826082
ca2_e,-1.1130434782608694
fe2_p,-0.0
dkdglcn_c,-1.3478260869565206
chtbs_p,-1.1043478260869555
34hpp_c,-4.1086956521739095
fusa_p,-0.034782608695653194
metglcur_c,-2.0260869565217376
g1p_e,-1.452173913043474
duri_c,-1.686956521739129
udcpdp_p,-1.1217391304347812
ag_e,-1.426086956521739
pep_c,-2.2173913043478244
ala_B_c,-1.1826086956521726
h_c,-31.782608695652133
pa141_c,-1.6869565217391298
no2_e,-1.6869565217391282
cdpdddecg_c,-5.530434782608688
rib__D_c,-3.7913043478260833
tag6p__D_c,-0.6608695652173908
2dr1p_c,-1.095652173913042
gthrd_c,-4.304347826086949
pe140_p,-0.06086956521739248
2agpg120_c,0.060869565217391175
dhpppn_c,-0.0
2tdecg3p_p,-0.16521739130434765
ala__L_e,-0.0
g6p_e,-0.7043478260869556
actACP_c,-1.2869565217391297
2odecg3p_c,-0.6869565217391301
hdcea_c,-7.8608695652173814
hdcoa_c,-0.0
actp_c,-8.569565217391293
2pglyc_c,-0.03913043478260869
o16a4colipa_e,0.0304347826086957
acgam6p_c,-9.634782608695641
g3pc_c,-0.0
thmpp_c,-6.295652173913038
dmbzid_c,-1.4478260869565194
val__L_p,-0.0
xtp_c,-0.1739130434782602
udcpgl_c,-1.5739130434782596
mepn_c,-1.1739130434782596
ppt_p,-1.321739130434781
mepn_p,-1.017391304347825
cd2_c,-6.20869565217391
pyr_p,-3.7782608695652127
tcynt_p,-1.3478260869565206
ni2_c,-1.5739130434782596
acanth_c,2.0816681711721685e-15
cyst__L_c,-5.9086956521739085
so2_p,-1.1130434782608687
peamn_p,-0.0
mso3_e,-0.46086956521739075
mn2_c,1.3086956521739106
dutp_c,-0.0
murein5p5p_p,-0.0
dmlz_c,-0.7043478260869567
pan4p_c,-1.2347826086956517
pa181_c,-0.0
thrp_e,-1.4695652173913039
2agpg181_p,0.06086956521739095
adprib_c,-1.9913043478260857
octa_c,-0.0
quln_c,-0.04347826086956527
tdecoa_c,-0.008695652173913299
1odecg3p_p,0.008695652173913299
dxyl_c,-0.0
dhptd_c,-0.008695652173913104
thym_p,-0.41739130434782373
LalaLglu_e,-1.0086956521739123
mocogdp_c,-18.626086956521732
lipa_c,-5.328260869565213
mththf_c,-1.68695652173913
sheme_c,-6.1652173913043455
sufbcd_2fe2s_c,-1.0173913043478253
all__D_p,1.0434782608695632
metsox_R__L_e,-1.3217391304347816
bwco_c,-1.9999999999999987
pheme_p,2.513043478260868
h2o_p,-0.7043478260869567
f_p,-7.5217391304347725
hdca_p,-0.5826086956521733
fru_c,-0.36521739130434655
gal1p_p,-0.0
g3pe_e,-0.034782608695653194
dimp_p,-27.156521739130397
glyc3p_c,-1.2869565217391297
ctbt_p,-1.2434782608695645
anhm3p_c,-1.5739130434782596
2ahbut_c,-10.565217391304339
clpn140_p,-2.2869565217391306
murein5p4p_p,-1.5043478260869543
ser__L_c,-0.6695652173913047
toct2eACP_c,-2.599999999999996
clpn141_p,-1.243478260869565
12dgr180_p,-2.5043478260869545
2agpe140_p,-1.9869565217391285
ump_c,-12.145652173913026
5drib_c,3.7565217391304326
2agpe120_c,-4.647826086956518
4c2me_c,-1.1130434782608678
1agpg181_p,-1.2869565217391297
oxalcoa_c,-1.7478260869565192
uracp_c,0.0
preq1_c,-1.1043478260869555
bmoco_c,-0.521739130434782
hdceap_c,-7.5217391304347725
ade_e,-1.4695652173913039
mepn_e,-1.7565217391304337
bmoco1gdp_c,-2.939130434782607
rmn_e,-1.5043478260869554
f_e,-1.2869565217391297
3pg_c,-5.551115123125783e-17
iprimv_c,0.5652173913043463
2dhguln_c,-1.4695652173913039
psuri_c,-0.6434782608695644
ctp_c,-0.0
dadp_c,-1.1652173913043469
2ddglcn_e,2.582608695652172
xan_c,-0.0
xu5p__D_c,-0.2695652173913048
aspsa_c,-0.008695652173913299
glyb_e,-5.3739130434782565
xtsn_c,-0.6260869565217388
2p4c2me_c,-0.0
glcr_e,0.008695652173913299
lgt__S_c,-15.430434782608682
alltn_e,-1.426086956521739
cyan_c,-1.4521739130434774
f6p_e,-2.495652173913041
gam1p_c,-20.599999999999977
cu2_e,-4.821739130434778
zn2_e,-1.365217391304344
ura_e,-1.7217391304347818
fadh2_c,-0.0
dhpmp_c,-0.0
15dap_p,-1.5652173913043457
pppi_c,-0.034782608695652
lys__L_e,-0.0
cynt_c,-0.5130434782608692
xu5p__L_c,0.5362318840579705
ascb6p_c,-0.44347826086956443
acmum6p_c,-1.1739130434782596
ocdca_e,-2.3130434782608673
glyclt_c,-1.1130434782608678
ppap_c,1.5652173913043461
hkntd_c,-1.3999999999999992
gp4g_c,-6.499999999999994
all__D_c,-1.5999999999999983
acnam_p,2.513043478260868
sucr_p,-1.8521739130434731
g6p_p,-0.052173913043478334
glyb_c,1.382608695652174
gmp_e,-0.008695652173913215
phaccoa_c,-0.0
but_e,-2.7565217391304335
pnto__R_p,-1.0782608695652167
isetac_p,-10.826086956521728
amp_p,-0.034782608695652
kdo2lipid4p_c,-9.608695652173902
dhmptp_c,0.12173913043478224
cobalt2_e,-1.0086956521739119
cbl1_c,0.0
gal_bD_p,-2.0869565217391273
alaala_p,-10.652173913043466
fald_p,-0.44347826086956577
uri_p,-0.0
thex2eACP_c,-1.0173913043478255
ocdcea_p,-2.5043478260869545
LalaDgluMdapDala_e,-28.199999999999967
t3c9palmeACP_c,-0.0
hlipa_c,-0.0
dimp_c,-5.395652173913036
odecoa_c,-1.0608695652173903
cpe160_c,-0.008695652173911661
cgly_c,-1.6608695652173895
phhlipa_c,0.04426877470355687
alpp_p,-0.0
lpp_p,-1.2869565217391299
5mtr_p,0.0
1agpe181_p,-1.0434782608695647
sf_c,-1.1043478260869555
fuc__L_c,-1.0956521739130434
ghb_c,0.13913043478260853
4abutn_c,0.0
accoa_c,-0.2695652173913049
arg__L_c,-2.173913043478259
LalaLglu_p,-18.86956521739128
26dap_LL_c,1.1102230246251565e-16
tma_e,0.0
mdhdhf_c,0.05217391304347828
occoa_c,-0.6782608695652166
moadamp_c,-3.5565217391304316
lyx__L_e,-1.2869565217391297
mththf_p,4.226086956521736
gtp_e,-0.008695652173913299
3hbz_c,-0.0
man6p_p,-0.0
cellb_e,2.9782608695652133
prpmn_c,-1.2521739130434772
uamr_c,-2.3826086956521726
fecrm_un_c,-0.6173913043478259
asp__L_c,-2.0695652173913004
lipa_cold_p,-0.5739130434782606
sbt__D_e,-4.291304347826083
acg5sa_c,-33.504347826086914
arg__L_e,-1.0347826086956515
murein3p3p_p,-1.5478260869565188
hexACP_c,-1.9826086956521722
dgsn_e,0.3826086956521735
spmd_e,-10.043478260869556
pg161_c,-8.591304347826076
skm_c,-0.9217391304347814
pe120_p,-9.695652173913032
sucgsa_c,-0.6695652173913047
imp_c,-16.43478260869563
tartr__L_c,-11.147826086956512
ppal_p,-0.0
colipap_p,-0.5304347826086948
o2_c,0.5739130434782604
dhps_p,-1.2608695652173876
ocdcea_c,0.0
h_p,-0.48695652173912807
3hbcoa_c,-0.0007905138339918266
succ_p,-0.034782608695652
gal_p,-0.9217391304347814
2hptcl_c,-1.0086956521739128
phpyr_c,-1.4086956521739125
s17bp_c,-1.486956521739128
4ampm_c,-1.5652173913043463
maltttr_p,-0.030434782608695546
pydxn_c,-1.2434782608695638
met__D_c,-2.0260869565217376
fru_e,-2.1217391304347815
sucorn_c,-1.9826086956521725
pyr_e,0.0
dtmp_p,-1.1391304347826083
dhcinnm_c,-0.9913043478260857
aso4_c,-0.6869565217391304
acgal_p,-0.0
dtdp4addg_c,-4.856521739130428
unagamuf_c,-0.5130434782608692
idon__L_c,-2.0869565217391273
malttr_e,-2.5565217391304316
cys__D_e,-0.019762845849801987
pac_c,-0.0
pgp160_p,-0.6260869565217391
cbm_c,-1.5217391304347814
5mthf_c,0.0173913043478251
3hpppn_e,-0.0
ppt_e,2.513043478260868
pmeACP_c,-0.0
ctbt_c,-1.9913043478260861
nad_c,-21.0086956521739
na1_p,-0.4608695652173922
glyald_p,-1.452173913043474
r1p_c,-31.817391304347787
tdeACP_c,-41.40869565217387
5mta_c,-0.0
23dhba_c,-0.008695652173913299
val__L_e,-0.5304347826086949
ddcacoa_c,-0.6173913043478259
gdpofuc_c,-1.1565217391304339
rbl__D_c,0.0
chol_c,-0.5999999999999988
his__L_p,-0.33043478260869574
malt_c,-0.04347826086956505
hom__L_e,0.0173913043478261
no2_p,0.06956521739130431
dcmp_e,-1.0521739130434795
dgmp_e,-0.0
rhcys_c,0.01304347826086967
cd2_e,-0.8695652173913038
met__D_e,-1.0782608695652167
gbbtn_c,-0.5660079051383374
fald_c,-1.156521739130433
Nmtrp_c,-1.4432899320127035e-15
23ccmp_e,0.46086956521739086
dmso_e,-1.0347826086956515
udpg_e,-1.0347826086956504
icolipa_c,-9.478260869565208
acgal_e,-2.5391304347826065
r15bp_c,-1.0086956521739119
g3pe_p,-1.07391304347826
crn__D_p,-1.2869565217391299
3ocvac11eACP_c,-0.0
cd2_p,-1.3130434782608686
3hoctaACP_c,-0.0
2agpe181_p,-3.7565217391304313
arab__D_c,-5.043478260869561
2doxg6p_c,1.5043478260869536
ocdca_c,0.0173913043478251
murein4px4p4p_p,-0.3565217391304347
2agpg180_c,-1.1739130434782596
2tdec7eg3p_p,-0.03478260869565186
sulfac_c,0.0
mg2_c,-0.8782608695652145
dt5hsu_c,-7.617391304347819
acmalt_c,0.07826086956521758
malcoame_c,0.0
slnt_p,-0.582608695652173
gmeACP_c,-1.5478260869565195
1hdecg3p_c,-3.563043478260865
hgmeACP_c,-1.1999999999999984
pg141_p,-0.5565217391304338
mpt_c,-8.373913043478252
ttrcyc_p,0.0
4crsol_c,-1.51304347826087
apg181_c,-2.0608695652173896
pydx_p,-4.852173913043473
2sephchc_c,-1.6521739130434767
cellb_p,-0.0
adp_c,-0.1217391304347826
dhps_c,1.0130434782608662
mal__L_c,-0.0
urea_c,-1.1043478260869555
gam_c,-37.37391304347822
mercpeth_c,-1.0347826086956515
psuri_p,-0.26086956521739146
5apru_c,-9.94782608695651
g3p_c,-1.0086956521739123
puacgam_p,-0.9913043478260863
etoh_c,-4.826086956521732
pnto__R_c,-1.2086956521739118
nadphx__S_c,-0.5391304347826082
gdptp_c,0.0
3hddcoa_c,-1.043478260869565
so3_c,0.8695652173913053
met__L_c,0.0
aicar_c,0.0
altrn_c,-8.965217391304337
thymd_e,-1.9913043478260861
ncam_c,0.9521739130434752
5aizc_c,-1.6695652173913031
fruur_c,-2.0869565217391273
sucbz_c,0.5521739130434791
ac_e,-0.0
glx_c,-0.2521739130434785
k_e,1.4565217391304321
lipidX_c,-1.1043478260869561
apg140_c,1.882608695652171
dhna_c,-2.5043478260869545
etoh_e,-1.486956521739129
galctn__L_c,-1.1826086956521729
mi1p__D_c,-0.5304347826086948
pro__L_e,-0.0
taur_e,-0.48695652173912807
lipa_cold_e,-0.9826086956521738
bwcogdp_c,-1.1130434782608694
ppp9_c,-1.1043478260869546
thptdn_c,-1.4608695652173913
glcn_p,-4.186956521739125
gua_p,-1.5652173913043457
air_c,-0.5739130434782601
6pgc_c,-1.5739130434782596
6hmhptpp_c,-1.6173913043478254
udpgal_c,0.999999999999999
nh4_c,-0.6695652173913041
fe3hox_un_p,-0.0
xmp_e,2.54782608695652
pydam_c,-0.04347826086956513
so3_p,-0.0
rml1p_c,-1.478260869565217
gam6p_e,-1.0173913043478253
cytd_c,-0.5304347826086949
glcur1p_e,-1.286956521739129
nac_e,-0.0
tdec2eACP_c,-1.4173913043478261
thym_c,-2.914335439641036e-15
galctn__D_c,-5.369565217391298
sbzcoa_c,-2.5565217391304316
gal_e,-1.5565217391304333
3hpp_p,-0.3913043478260867
pimACP_c,-0.6347826086956518
micit_c,-0.5652173913043481
dhcholn_c,-1.6956521739130406
acnam_c,0.5826086956521725
hdeACP_c,-1.4695652173913045
dha_e,-0.4869565217391304
pi_c,-1.4782608695652164
acmana_p,-0.8086956521739125
argsuc_c,-2.1826086956521715
aacald_c,-0.0
gbbtn_p,-0.16521739130434765
nh4_p,-9.48695652173912
4abut_p,-1.1130434782608694
chor_c,-0.008695652173913188
hom__L_c,-1.0434782608695647
cbi_p,-0.0
thymd_c,-0.06086956521739162
mnl_p,-0.0
gal_bD_e,-1.7478260869565205
12ppd__R_c,-0.022924901185770348
dgdp_c,-1.1043478260869555
glu1sa_c,-0.026086956521739896
dad_5_c,-8.904347826086948
imp_p,-5.591304347826085
LalaDgluMdap_p,-1.1217391304347821
cit_e,-1.1130434782608678
glcur1p_p,-1.4695652173913039
leu__L_e,-1.0434782608695647
hhlipa_c,-1.1739130434782594
skm_p,-1.8521739130434731
crnDcoa_c,-0.008695652173913188
zn2_c,-0.0
q8h2_c,0.8608695652173921
ala__D_e,0.0
murein5px3p_p,-0.0
fe2_e,-2.208695652173911
skm_e,-13.034782608695648
2agpe161_p,-1.0695652173913035
3odecACP_c,-0.9478260869565217
galt_e,-1.0782608695652167
5dglcn_e,-0.5826086956521732
unagamu_c,-0.0
5prdmbz_c,0.017391304347826597
1tdecg3p_c,-0.7391304347826084
pa140_c,-0.5652173913043482
cdpdtdec7eg_c,-2.5391304347826065
cynt_e,-0.0
dgslnt_c,5.501932687896969e-17
cit_p,-1.043478260869565
xan_p,0.5217391304347816
2agpe140_c,-1.1826086956521729
teo2_c,-0.0
sufsesh_c,0.06086956521739101
tyr__L_c,-0.0
fruur_p,-1.5304347826086946
ggptrc_c,-0.0
cys__L_c,-1.0695652173913035
4abzglu_e,-39.878260869565175
2aobut_c,-0.008695652173913299
sulfac_e,-1.68695652173913
lkdr_c,1.9999999999999987
ps160_c,-1.3877787807814457e-17
4r5au_c,0.3043478260869559
3hbzcoa_c,-0.6608695652173908
gam_e,-1.2086956521739114
pg120_c,0.0
2agpe141_p,-0.12173913043478266
met__L_e,0.0
xylu__D_c,-1.5521739130434777
4hbz_c,-2.1652173913043455
amet_c,-1.0695652173913035
dscl_c,-0.0
hxa_c,0.0
h2s_c,0.017391304347826597
phthr_c,0.0
acmana_e,-1.5043478260869567
3oocoa_c,-0.4782608695652174
n8aspmd_c,-15.208695652173894
acgam1p_c,-1.0347826086956513
ascb__L_e,-1.1739130434782594
malt_e,-0.008695652173913299
thymd_p,-1.2086956521739107
mn2_e,-0.5391304347826082
ditp_c,-1.5130434782608686
u23ga_c,-0.7478260869565185
23dappa_e,-1.4782608695652166
um4p_c,-1.1043478260869546
3hppnl_c,-20.478260869565208
cs1_e,2.5173913043478224
glyc2p_c,-5.395652173913036
wco_c,-1.4521739130434794
uLa4fn_c,-11.052173913043466
lipa_p,-1.0434782608695647
glc__D_c,0.0
zn2_p,-1.243478260869565
dhmpt_c,-0.07826086956521758
e4p_c,-2.495652173913041
mincyc_p,-7.339130434782599
hg2_c,-1.2173913043478246
man1p_c,-8.565217391304335
2tpr3dpcoa_c,-1.6304347826086953
bglycogen_c,-2.5043478260869545
sq_c,-1.2869565217391297
sfp_c,-1.260869565217391
trp__L_c,-1.08695652173913
sq_e,-10.752173913043467
dsbdox_c,-4.304347826086949
acser_c,0.02608695652173973
progly_e,-0.6869565217391296
5phdt_c,-0.0
lys__L_c,2.220446049250313e-16
adpglc_c,6.800116025829084e-16
ogmeACP_c,-0.7043478260869562
hpmeACP_c,-0.5304347826086951
dudp_c,-8.591304347826076
2shchc_c,-1.2869565217391268
4ppan_c,-1.0260869565217385
sufse_c,-5.365217391304345
dxyl5p_c,-1.113043478260868
cs1_p,-0.0
23dhb_c,-0.5391304347826082
man_e,-1.5913043478260864
2mecdp_c,-1.1130434782608696
atp_c,-1.2521739130434772
acmana_c,-0.02608695652173961
rbl__L_c,-9.686956521739118
dcyt_e,-3.0347826086956493
fcl__L_c,-0.0
orot_e,-1.5826086956521728
agdpcbi_c,-1.5391304347826056
indole_c,-0.008695652173913243
eig3p_c,-0.9739130434782605
h2_e,-4.817391304347819
26dap__M_c,0.5217391304347816
u3aga_c,-1.1043478260869561
nmn_e,0.03478260869565179
thm_c,-0.0
thf_c,-2.7217391304347807
man6p_e,-0.07826086956521758
orot5p_c,-0.008695652173913299
feoxam_c,0.0173913043478251
h_e,-0.0
csn_p,-5.501932687896969e-17
aact_c,-2.1826086956521715
gln__L_p,-4.304347826086949
glyc_p,-13.808695652173899
cytd_p,-0.0
thr__L_p,-1.252173913043478
asn__L_e,-9.94782608695651
fuc__L_p,-0.0
5caiz_c,-0.8782608695652165
dhnpt_c,-0.582608695652173
pyam5p_c,-0.0
ttdca_p,-1.4173913043478257
acgam_c,-0.6173913043478259
metsox_S__L_p,0.01739130434782682
mal__L_p,-0.0
pacald_p,1.54782608695652
eca4colipa_p,-1.1739130434782596
lcts_e,-0.0
btcoa_c,0.4753623188405798
tmao_p,-1.5043478260869567
u3hga_c,2.5565217391304333
tdcoa_c,-20.626086956521718
udpglcur_e,-1.1304347826086956
hxa_p,-4.626086956521734
murein3px3p_p,-5.252173913043475
3hcpalm9eACP_c,-0.982608695652174
dca_e,0.0
mobd_p,-0.6434782608695644
malt6p_c,2.4739130434782575
met__L_p,-1.0260869565217385
g1p_p,-1.0086956521739123
ser__L_p,-2.2869565217391306
3ocpalm9eACP_c,-0.6695652173913047
2ddecg3p_c,-0.3913043478260867
anhgm3p_c,-8.965217391304336
1agpe161_p,-2.5956521739130425
octa_p,-1.0782608695652167
ggagicolipa_c,-1.0869565217391302
chtbs_e,-2.5608695652173905
dopa_e,-1.1043478260869555
ppa_p,0.008695652173913299
msa_c,-5.599999999999999
pser__L_p,-3.0869565217391233
slnt_c,-1.2695652173913035
isetac_e,-8.591304347826075
fe3dhbzs_p,0.0
cpgn_c,0.0
butACP_c,-0.0
metglcur_e,-0.0
cu_e,-1.3877787807814457e-17
dgsn_c,-0.521739130434782
1hdec9eg3p_c,-5.008695652173909
cdpdtdecg_c,-1.3877787807814457e-17
pe181_c,-0.6608695652173908
dttp_c,-1.0608695652173903
pe120_c,0.40000000000000024
but_c,0.008695652173911855
pe160_p,-0.5913043478260875
pg160_p,-1.791304347826086
2agpg160_c,-2.4347826086956506
glutrna_c,-0.46086956521739064
pa120_p,-2.565217391304344
adn_e,4.304347826086953
3otdcoa_c,-6.10434782608695
ddcap_c,-1.286956521739129
3hhdcoa_c,-0.8956521739130432
octdp_c,1.321739130434783
hdcap_c,-0.5913043478260871
cinnm_c,2.54782608695652
hx2coa_c,-0.48695652173912807
egmeACP_c,-0.034782608695652
uacmam_c,-1.2086956521739107
arbt6p_c,0.0
cph4_c,-2.156521739130431
ttdca_c,-6.817391304347817
glycogen_c,-1.2521739130434777
iscu_2fe2s2_c,-10.043478260869554
ahcys_c,-9.608695652173902
pydx_c,-2.478260869565214
tma_p,-2.886956521739129
fe3dcit_e,-0.0
thmnp_c,-0.008695652173913299
fe3hox_un_c,-3.060869565217387
lac__D_e,-1.5043478260869552
trdox_c,-1.1130434782608678
2mcacn_c,-0.5826086956521733
damp_e,-4.856521739130428
5mtr_c,-5.339130434782602
o16a4und_p,2.969565217391301
aconm_c,-1.0173913043478253
adn_p,-0.6695652173913039
3ig3p_c,-0.0
asn__L_p,-1.1043478260869555
n2o_c,-0.05217391304347879
sl26da_c,-0.8695652173913033
hg2_e,-2.513043478260868
dgsn_p,-4.599999999999996
3hoctACP_c,-0.0
dctp_c,-8.391304347826077
toctd2eACP_c,-2.652173913043475
manglyc_p,-1.2956521739130427
dms_p,0.008695652173913299
din_c,-0.5391304347826082
h2s_p,-15.756521739130424
dsbcox_p,4.147826086956519
ichor_c,-1.1102230246251565e-16
clpn160_p,-0.12173913043478171
clpn181_p,-4.826086956521732
feoxam_e,-2.8956521739130414
lipoate_e,-1.0434782608695636
pacald_c,-19.24347826086956
arbt_p,-1.0434782608695647
cpppg3_c,-0.0
ttdceap_c,0.0
cpmp_c,-0.0
isetac_c,-1.0608695652173903
anhgm4p_c,-4.299999999999995
3ohcoa_c,-0.6608695652173908
gggagicolipa_c,4.878260869565214
doxrbcn_e,-0.1304347826086959
dxylnt_p,-0.0
ser__D_e,-8.904347826086946
2hptcoa_c,-0.0
grxrd_c,-0.6000000000000003
so2_e,-0.5652173913043482
ohpb_c,-1.2173913043478246
cys__D_c,0.0
pa161_c,-3.904347826086954
ru5p__D_c,-0.0
23dhmb_c,-0.0
amp_e,-1.5043478260869558
galur_c,-0.0
arab__L_e,0.06956521739130439
pgp140_c,-0.0
o2s_c,-1.5652173913043463
pgp161_c,-0.2869565217391301
ps180_c,-13.034782608695648
lald__L_c,-30.217391304347785
ugmd_c,-12.41739130434782
6hmhpt_c,-2.226086956521738
ppcoa_c,-0.0
pe141_c,-1.3130434782608686
cpg160_c,-1.5130434782608686
fecrm_c,-1.1826086956521726
adocbi_c,-1.199999999999999
ile__L_p,0.0869565217391309
acac_c,-3.3913043478260834
crn__D_e,0.0173913043478251
acmanap_c,-5.501932687896969e-17
nmn_p,-0.0
pppn_e,-1.0086956521739123
13ppd_c,-1.5391304347826056
hxan_p,-1.243478260869565
pran_c,-5.002173913043471
3hcinnm_e,-1.2347826086956513
gsn_c,-0.5652173913043482
metsox_R__L_p,-4.30434782608695
ins_c,0.017391304347826597
tmao_c,4.104347826086951
tsul_c,-5.860869565217383
23cgmp_p,-1.1043478260869555
man6pglyc_c,-0.0
ura_c,-0.5826086956521733
LalaDgluMdap_e,-9.634782608695641
chol_e,-0.7217391304347818
gly_e,-0.9942028985507219
oxam_c,-0.017391304347826403
dha_p,-1.0782608695652167
cgly_p,-0.9956521739130428
LalaDgluMdapDala_c,-1.173913043478261
8aonn_c,-0.0
2hdecg3p_c,-0.0
pdx5p_c,-1.5478260869565201
colipa_p,-0.0
23doguln_c,1.0434782608695652
1agpg160_p,-0.46086956521739086
tmao_e,-0.0
colipa_e,-0.5217391304347823
glyc2p_p,-1.0086956521739123
4abzglu_p,-0.0
pe141_p,-1.1217391304347812
acac_p,-0.02608695652173961
34dhpha_c,-1.3130434782608689
but_p,-18.643478260869543
34dhpac_p,-0.008695652173913299
lipa_e,-1.3478260869565213
pe181_p,-1.7043478260869542
12dgr140_p,-0.9999999999999991
2hdecg3p_p,-4.8173913043478205
glcn_c,-0.026086956521739896
oxadpcoa_c,-0.008695652173913299
enlipa_e,-0.03478260869565186
n2o_e,0.03478260869565268
mptamp_c,-1.2521739130434777
paps_c,-1.3130434782608686
cobalt2_c,-1.6173913043478254
utp_c,-3.0478260869565177
cobalt2_p,-4.860869565217387
dhor__S_c,-0.2608695652173907
mmet_p,-1.0
aso3_e,-1.2434782608695643
glyc_e,-0.982608695652174
adn_c,-0.0
4mop_c,-1.1739130434782596
gal1p_c,-0.008695652173913299
dsbgox_p,-1.1130434782608678
2me4p_c,-0.8173913043478258
pg140_p,-1.113043478260868
dann_c,2.0217391304347796
tre_c,-0.008695652173913299
gdpmann_c,1.5043478260869536
2h3oppan_c,-0.0
hpyr_c,-1.191304347826086
2agpg181_c,0.008695652173913299
apg120_c,-1.6347826086956487
apg160_c,-0.0
dad_2_e,-1.2173913043478248
mchtbs6p_c,-0.8869565217391299
fdp_c,-1.0869565217391297
mthgxl_c,0.0
tartr__L_e,-0.13913043478260895
cbi_c,2.086956521739129
octa_e,-0.0
thym_e,-1.68695652173913
gdp_e,-1.4695652173913039
rmn_c,-1.3999999999999984
dtmp_c,-10.008695652173902
dmso_p,-8.382608695652163
fecrm_p,0.0
gdp_p,-9.67391304347825
gdp_c,-0.0
ins_p,-1.0739130434782604
man_c,0.0
uaagmda_c,-0.0869565217391305
4hoxpacd_e,0.06086956521739095
acser_p,-8.591304347826075
k_c,-1.6260869565217384
o2_p,2.504347826086955
ala_B_p,0.0
cbi_e,-0.0
tungs_p,-0.7478260869565185
crn_e,-1.0434782608695634
dtmp_e,-1.0869565217391297
fe2_c,-0.0
cdpdodecg_c,-0.0
ps140_c,0.713043478260869
12dgr160_c,-2.7217391304347807
2tdecg3p_c,0.0
thm_e,-0.2956521739130429
glyald_e,-7.330434782608687
12dgr181_c,-5.9086956521739085
indole_e,-0.3043478260869562
2tdec7eg3p_c,-1.60869565217391
dsbcrd_p,-1.2869565217391297
bmocogdp_c,-1.0782608695652167
mg2_e,-1.0434782608695647
pgp181_p,-1.1130434782608687
mththf_e,-11.799999999999995
dhptdp_c,1.139130434782608
orot_p,-0.8695652173913033
LalaDglu_p,-0.0
cdigmp_c,0.008695652173913299
uri_c,-1.2434782608695638
dad_2_c,-1.286956521739129
datp_c,-0.03478260869565186
cholate_c,-1.1739130434782603
3hhcoa_c,-10.617391304347814
34dphacoa_c,-7.8608695652173814
puacgam_c,0.06956521739130431
ppi_c,-1.5043478260869558
