gene,name
b0343,lacY
b0475,hemH
b1380,ldhA
b2133,dld
b0810,glnP
b3892,fdoI
b0809,glnQ
b4054,tyrB
b0642,leuS
b1475,fdnH
b3458,livK
b0811,glnH
b1474,fdnG
b3894,fdoG
b2091,gatD
b1651,gloA
b1476,fdnI
b3893,fdoH
b0242,proB
b0935,ssuD
b0622,pagP
b3409,feoB
b4386,lplA
b1492,gadC
b2688,gshA
b0630,lipB
b2392,mntH
b0628,lipA
b1493,gadB
b4289,fecC
b3517,gadA
b0182,lpxB
b4288,fecD
b0494,tesA
b1761,gdhA
b1524,glsB
b4287,fecE
b0485,glsA
b2312,purF
b3825,pldB
b4131,cadA
b4290,fecB
b0186,ldcC
b3967,murI
b4291,fecA
b0589,fepG
b3213,gltD
b2890,lysS
b3212,gltB
b0588,fepC
b1210,hemA
b2156,lysP
b0590,fepD
b2400,gltX
b0592,fepB
b3903,rhaA
b2155,cirA
b3907,rhaT
b3653,gltS
b0507,gcl
b3927,glpF
b0805,fiu
b3617,kbl
b3600,mtlD
b0777,bioC
b1800,dmlA
b0150,fhuA
b2976,glcB
b2240,glpT
b0514,glxK
b0584,fepA
b3124,garK
b0591,entS
b4014,aceB
b4367,fhuF
b2049,cpsB
b2903,gcvP
b2904,gcvH
b2905,gcvT
b4209,ytfE
b2490,hyfJ
b1033,ghrA
b1613,manA
b4323,uxuB
b2979,glcD
b2481,hyfA
b4467,glcF
b0731,mngA
b2485,hyfE
b0732,mngB
b0334,prpD
b4468,glcE
b3926,glpK
b2720,hycF
b0212,gloB
b3560,glyQ
b0331,prpB
b0333,prpC
b1092,fabD
b3559,glyS
b2721,hycE
b2053,gmd
b2521,sseA
b2723,hycC
b0635,mrdA
b2484,hyfD
b3396,mrcA
b3052,hldE
b2488,hyfH
b0200,gmhB
b2487,hyfG
b0104,guaC
b0084,ftsI
b2724,hycB
b2486,hyfF
b4079,fdhF
b0149,mrcB
b0632,dacA
b0839,dacC
b2507,guaA
b2029,gnd
b2722,hycD
b4268,idnK
b3182,dacB
b2483,hyfC
b3437,gntK
b2489,hyfI
b2482,hyfB
b2010,dacD
b2719,hycG
b2134,pbpG
b3449,ugpQ
b3924,fpr
b2239,glpQ
b2328,mepA
b2895,fldB
b3236,mdh
b1654,grxD
b0684,fldA
b0849,grxA
b2210,mqo
b1479,maeA
b3288,fmt
b2463,maeB
b3610,grxC
b0477,gsk
b0025,ribF
b2988,gss
b2515,ispG
b0937,ssuE
b2746,ispF
b4120,melB
b2747,ispD
b3500,gor
b1710,btuE
b2912,fau
b3447,ggt
b0829,gsiA
b0830,gsiB
b0831,gsiC
b2942,metK
b0199,metN
b0198,metI
b0197,metQ
b4019,metH
b3829,metE
b2374,frc
b4219,msrA
b1778,msrB
b0832,gsiD
b2947,gshB
b2492,focB
b2153,folE
b0904,focA
b2114,metG
b1277,ribA
b4154,frdA
b3779,gpp
b4242,mgtA
b0963,mgsA
b0403,malZ
b4153,frdB
b1193,emtA
b2883,guaD
b4152,frdC
b0125,hpt
b4151,frdD
b0238,gpt
